filename,duration,sr,n_channels,loudness_lufs,loudness_rms_db,rms,bpm,n_beats,meter,genre,genre_confidence,danceability,danceability_confidence,voice_instrumental,mood_happy,mood_sad,mood_aggressive,mood_relaxed,pitch_median_hz,key,scale,key_strength,fluctuation,spectral_irregularity,session,n_onsets,syncopation_score
12_ellie_goulding_lights_single_version.mp3,210.7,44100,2,-8.53,-10.33,0.257237,120,418,4,Electronic---House,0.164,danceable,0.983,voice,0.482,0.171,0.036,0.443,173.2,C,major,0.819,7717.9466,0.4308,session_log_02-24_09h-30m,,
13_mgmt_kids.mp3,22.0,44100,2,-7.28,-11.77,0.205007,125,34,4,Electronic---Electro,0.16,danceable,0.792,voice,0.49,0.12,0.766,0.228,742.0,E,major,0.475,2694.4653,0.3904,session_log_02-24_09h-30m,,
14_elton_john_cold_heart_pnau_remix.mp3,202.99,44100,2,-8.44,-10.38,0.24212,115,391,4,Electronic---House,0.392,danceable,0.975,voice,0.377,0.177,0.008,0.52,266.2,C#,major,0.888,8416.2466,0.4345,session_log_02-24_09h-30m,,
15_dua_lipa_dont_start_now.mp3,181.12,44100,2,-9.07,-11.27,0.229254,125,358,4,Electronic---House,0.366,danceable,0.977,voice,0.509,0.123,0.041,0.294,280.4,D,major,0.83,10330.1745,0.3985,session_log_02-24_09h-30m,,
16_gnarls_barkley_crazy.mp3,180.6,44100,2,-11.94,-14.06,0.174966,111,331,4,Electronic---Downtempo,0.359,danceable,0.941,instrumental,0.62,0.187,0.026,0.639,207.2,C,minor,0.842,8198.4291,0.4278,session_log_02-24_09h-30m,,
17_lykke_li_i_follow_rivers_the_magician_remix.mp3,4.39,44100,2,-15.97,-22.52,0.019709,0,1,4,Electronic---Experimental,0.074,danceable,0.563,instrumental,0.094,0.246,0.325,0.804,223.5,E,minor,0.625,1102.1984,0.3462,session_log_02-24_09h-30m,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_harry_styles_as_it_was.mp3,10.24,44100,2,-7.89,-12.7,0.151092,188,19,4,Rock---Indie Rock,0.164,danceable,0.66,instrumental,0.328,0.375,0.259,0.713,440.6,A,major,0.83,2061.9471,0.4093,session_log_02-25_16h-27m,9,41
02_tame_impala_the_less_i_know_the_better.mp3,19.57,44100,2,-9.31,-11.77,0.210638,115,38,4,Funk / Soul---Funk,0.209,danceable,0.989,voice,0.685,0.108,0.247,0.157,140.1,C#,minor,0.891,3515.3743,0.4576,session_log_02-25_16h-27m,35,33
,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_tame_impala_the_less_i_know_the_better.mp3,36.74,44100,2,-6.78,-9.09,0.301809,115,72,4,Pop---K-pop,0.366,danceable,0.997,voice,0.765,0.153,0.067,0.273,145.7,E,major,0.862,3971.0945,0.4594,session_log_02-25_16h-30m,,
02_elton_john_cold_heart_pnau_remix.mp3,200.26,44100,2,-8.44,-10.32,0.24543,115,390,4,Electronic---House,0.397,danceable,0.982,voice,0.378,0.173,0.005,0.517,266.5,C#,major,0.888,8492.3379,0.4361,session_log_02-25_16h-30m,,
03_dua_lipa_dance_the_night_from_barbie_the_album.mp3,177.66,44100,2,-7.5,-10.01,0.269167,111,313,4,Pop---K-pop,0.396,danceable,0.949,voice,0.329,0.275,0.009,0.769,291.1,B,minor,0.859,7453.7828,0.3917,session_log_02-25_16h-30m,,
04_elton_john_cold_heart_claptone_remix.mp3,23.82,44100,2,-7.63,-9.07,0.295824,125,50,4,Electronic---House,0.553,danceable,1.0,voice,0.538,0.056,0.063,0.158,116.3,Bb,minor,0.921,4028.5402,0.4519,session_log_02-25_16h-30m,,
05_miley_cyrus_flowers.mp3,201.55,44100,2,-7.38,-9.68,0.291008,120,378,4,Electronic---House,0.264,danceable,0.913,voice,0.561,0.24,0.023,0.59,221.3,A,minor,0.843,9275.1656,0.423,session_log_02-25_16h-30m,,
06_elton_john_hold_me_closer.mp3,199.08,44100,2,-15.99,-18.07,0.103357,125,410,4,Electronic---House,0.254,danceable,0.927,voice,0.255,0.195,0.05,0.472,203.5,C,major,0.877,7829.3924,0.3899,session_log_02-25_16h-30m,,
07_dua_lipa_be_the_one.mp3,17.22,44100,2,-14.52,-17.33,0.098158,88,26,4,Electronic---Ambient,0.151,danceable,0.945,instrumental,0.077,0.369,0.043,0.905,260.6,F,major,0.898,3031.9983,0.4622,session_log_02-25_16h-30m,,
